EVTNAME94;;;;;;;;;;;;;x
show_master_questes_title;Show Master Quests;;;;Mostrar Desafíos Maestros;;;;;;;;x
show_master_questes_desc;Activate this option to see all the Master Quests.\n You will not be able to complete them if you do not meet the conditions or if you are not playing the indicated country, but you will be able to see the requirements and decide if you will try to meet them.\n You can activate or deactivate this option at any time.\n §YCurrent Status: (§RHidden§Y)§!;;;;Activa esta opción para poder ver todas los Desafíos Maestros.\n No podrás realizarlas si no cumples con las condiciones o si no juegas con el país indicado, pero podrás ver los requisitos y puedes decidir si intentarás cumplirlas.\n Puedes activar o desactivar esta opción en cualquier momento.\n §YEstado Actual: (§ROcultas§Y)§!;;;;;;;;x
hide_master_questes_title;Hide Master Quests;;;;Ocultar Desafíos Maestros;;;;;;;;x
hide_master_questes_desc;Activate this option to hide all Master Quests.\n Because these missions could affect the performance of your PC or hinder your visibility, you can hide the challenges that you cannot complete with the current country. You can always turn visibility back on.\n §YCurrent Status: (§GVisible§Y)§!;;;;Activa esta opción para ocultar todas los Desafíos Maestros.\n Debido a que estas misiones podrían afectar el rendimiento de tu equipo o entorpecer tu visibilidad, puedes ocultar los desafíos que no puedes realizar con el país actual. Siempre podrás volver a activar la visibilidad.\n §YEstado Actual: (§GVisibles§Y)§!;;;;;;;;x
master_tripoli_won_title;Master-Tripoli Won;;;;Master-Trípoli Gana;;;;;;;;x
master_tripoli_won_desc;Similar to the normal Tripoli decision. To complete this Master Quest you must not only survive the attack of the Ottoman Empire using the most difficult country in the game, but you also have to obtain the §Yprovince of Tripoli§! that is in Ottoman hands.\n Add that territory as a war demand and defeat the Ottoman Empire.\n If you complete this quest, take this decision before the normal one\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSS§!;;;;Semejante a la misión normal de Trípoli. Para realizar este Desafío Maestro no solo debes sobrevivir al ataque del Imperio Otomano usando el país más difícil del juego, sino que también tienes que obtener la §Yprovincia de Trípoli§! que está en manos otomanas.\n Agrega ese territorio como demanda de guerra y vence al Imperio Otomano.\n Si completas este desafío, toma esta decisión y no la normal\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSS§!;;;;;;;;x
master_nen_13colonie_title;Master-New 13 Colonies;;;;Master-Nuevas 13 Colonias;;;;;;;;x
master_nen_13colonie_desc;To complete this Master Quest you must reestablish the 'New' Thirteen Colonies, obviously using §Y'New' England.§!\n Control all territories that have §YUSA cores§! before the game ends.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RS§!;;;;Para completar este Desafío Maestro debes reestablecer las ‘Nuevas’ Trece Colonias, obviamente usando a ‘Nueva’ Inglaterra.\n Controla todos los territorios que tengan §Ynúcleo de Estados Unidos§! antes de que el juego termine\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RS§!;;;;;;;;x
master_europe_conquest_title;Master-Europe Conquest;;;;Master-Conquista Europea;;;;;;;;x
master_europe_conquest_desc;Relive Napoleon and Hitler's goal of conquering all of Europe.\n Are you at the height of those conquerors?\n Show your skills in this Master Quest and §Ytake all the capitals of Europe§! playing with §YFrance§! or §YGermany§!\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RS§!;;;;Revive el objetivo de Napoleón y Hitler de conquistar toda Europa.\n ¿Estás a la altura de esos conquistadores?\n Demuestra tu habilidad en este Desafío Maestro y toma §Ytodas las capitales§! de Europa jugando con §YFrancia§! o §YAlemania§!\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RS§!;;;;;;;;x
master_danish_ger_title;Master-Danish Germany;;;;Master-Alemania Danesa;;;;;;;;x
master_danish_ger_desc;The normal process to form Germany is to bring Denmark into your sphere of influence, well, for this Master Quest you will have to do the opposite.\n §YStart with Denmark§! and make Germany a vassal in addition to owning or controlling §Yall German provinces§!.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSSS§!;;;;El proceso normal para formar Alemania es meter en tu esfera de influencia a Dinamarca, bueno, para este Desafío Maestro tendrás que hacer lo contrario.\n §YInicia con Dinamarca§! y has vasallo a Alemania además de poseer o controlar §Ytodas las provincias alemanas§!.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSSS§!;;;;;;;;x
master_latin_hegemony_title;Master-Latin America Hegemony;;;;Master-Hegemonía Latinoamericana;;;;;;;;x
master_latin_hegemony_desc;It is not at all common to see a Latin American country as a Great Power, much less as the Hegemonic Power of the world.\n For this Master Quest you will have to start as one of the small §YLatin nations and become number 1§!.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RS§!;;;;No es nada común ver a un país latinoamericano como Gran Poder, mucho menos como potencia hegemónica del mundo.\n Para este Desafío Maestro tendrás que iniciar como una de las pequeñas naciones latinas y §Yvolverte el número 1§!.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RS§!;;;;;;;;x
master_restore_mongol_empire_title;Master-Restore Mongol Empire;;;;Master-Restaura el Imperio Mongol;;;;;;;;x
master_restore_mongol_empire_desc;In ancient times, the Mongol Empire dominated almost the entire planet, historically it is the largest continuous empire in history.\n Now it is nothing more than a small sub-state of China. For this Master Challenge you must reveal against your overlord and §Ytake all the Chinese cores§! in order to restore the Great Mongol Empire.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RS§!;;;;En su tiempo, el Imperio Mongol dominó casi todo el planeta, históricamente es el imperio continuo más extenso de la historia.\n Ahora no es más que un pequeño sub-estado de China. Para este Desafío Maestro debes revelarte ante tu señor y tomar §Ytodos los núcleos chinos§! para así poder restaurar el gran Imperio Mongol.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RS§!;;;;;;;;x
master_african_payback_title;Master-African Payback;;;;Master-Venganza Africana;;;;;;;;x
master_african_payback_desc;The scramble for Africa happened due to the military superiority of the Europeans over the Africans.\n Show that your nation is superior and perform a counterattack, complete this Master Quest by §Ytaking one of the 3 biggest capitals in Europe§!.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSSS§!;;;;La repartición de África sucedió debido a la superioridad militar de los europeos sobre los africanos.\n Demuestra que tu nación es superior y realiza un contragolpe, completa este Desafío Maestro tomando una de §Ylas 3 mayores capitales de Europa§!.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSSS§!;;;;;;;;x
master_minor_india_title;Master-Minor India;;;;Master-Pequeña India;;;;;;;;x
master_minor_india_desc;This Master Challenge is very simple, play with some of the smaller countries of Hindu culture and §Yform India§!. Pretty easy, right?\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSSS§!;;;;Este Desafío Maestro es muy sencillo, juega con alguno de los países más pequeños de cultura hindú y §Yforma la India§!. Bastante fácil ¿verdad?\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSSS§!;;;;;;;;x
master_late_colonization_title;Master-Late Colonization;;;;Master-Colonización Tardía;;;;;;;;x
master_late_colonization_desc;The great European powers had a time of colonization of the world, especially in America. During this colonization, many small European nations did not have a chance to do so, but it is never too late to start.\n Conquer §Yall of South America§! to complete this Master Quest.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RS§!;;;;Las grandes potencias europeas tuvieron una época de colonización del mundo, especialmente en América. Durante esta colonización, muchas naciones pequeñas europeas no tuvieron oportunidad de hacerlo, pero nunca es tarde para comenzar.\n Conquista §Ytodo Sudamérica§! para completar este Desafío Maestro.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RS§!;;;;;;;;x
master_north_lord_title;Master-North Overlord;;;;Master-El Señor del Norte;;;;;;;;x
master_north_lord_desc;Russia has always been known as the Lord of the North, its snow-filled plains are iconic, therefore there should only be one nation in the northern hemisphere.\n Conquer the §Yentire northern hemisphere§! by taking the capitals of all the regions and countries of this region of the planet to complete this Master Quest.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RS§!;;;;A Rusia siempre se le ha conocido como el Señor del Norte, sus planicies llenas de nieve son algo característico, por lo tanto solo debe haber una nación en el hemisferio norte.\n Conquista §Ytodo el hemisferio norte§! tomando las capitales de todas las regiones de esta región del planeta para completar este Desafío Maestro.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RS§!;;;;;;;;x
master_oceanic_india_title;Master-Oceanic India;;;;Master-India Oceanica;;;;;;;;x
master_oceanic_india_desc;How about conquering §Yall of India§! using a country from §YOceania§!? Pretty crazy huh?\n Well, that's what you will have do to complete this Master Quest.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSS§!;;;;¿Qué tal conquistar §Ytoda la India§! usando un país de §YOceanía§!? Bastante loco ¿no?\n Pues eso mismo tendrás que hacer para completar este Desafío Maestro.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSS§!;;;;;;;;x
master_japanese_conquest_title;Master-Conquest of Japan;;;;Master-Conquista de Japón;;;;;;;;x
master_japanese_conquest_desc;During World War II, Japan conquered almost all of Southeast Asia with great ease, wouldn't it be weird if it happened the other way around?\n Well, conquer §Yall cores of Japan§! with a country from Southeast Asia.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSSS§!;;;;Durante la Segunda Guerra Mundial, Japón conquistó casi todo el sudeste asiático con gran facilidad, ¿no sería curioso que sucediera al revés?\n Bueno, pues conquista §Ytodo Japón§! con un país del sudeste asiático\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSSS§!;;;;;;;;x
master_abu_empire_title;Master-Abu Dhabi Empire;;;;Master-Imperio de Abu Dhabi;;;;;;;;x
master_abu_empire_desc;§YAbu Dhabi§! is a small country in the middle of the God-forgotten Arab desert. It has no army and barely has a few resources, so complete this Master Quest by taking §Yall the Ottoman cores§! and transform that small nation into a huge empire.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSSS§!;;;;§YAbu Dhabi§! es un pequeño país en medio del desierto árabe olvidado por Dios. No tiene ejército y apenas tiene algunos cuantos recursos, así que completa este Desafío Maestro tomando §Ytodos los núcleos otomanos§! y transforma esa pequeña nación en un enorme imperio.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSSS§!;;;;;;;;x
